	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27
hsa-miR-758-3p	587.462571827644	788.227278179334	575.982251563514	1870.5874266792	1549.30301953235	1646.31302843166	2150.54598724318	10.2404110033663	16.6010581006572	322.986450353305	5.2235062758709	216.583078359206	196.63383414039	173.87887554248	142.666409492141	92.5367396481307	87.5079451912855	111.784154158113	106.334479193648	51.4974499017693	56.141929578485	43.0994562957917	43.6946701299093	37	39.8863482697283	33.7009479974412	67.1253625726116
hsa-miR-371a-3p	16.2432047509948	35.9921131588737	25.5361589363134	3.91336281732051	0	0	0	332.813357609405	343.088534080249	294.725135947391	428.327514621414	16.4791472664613	23.1333922518106	12.131084340173	2.16161226503244	5228.32579011938	2955.51027791213	3145.55410537946	4461.4248879074	2.34079317735315	3.20811026162772	4.78882847731019	3.12104786642209	2	6.93675622082231	4.64840662033671	16.7813406431529
hsa-miR-296-3p	449.395331444189	626.262768964402	448.301456881947	211.321592135307	245.621210413666	262.626125964098	268.508906347394	1571.90308901673	1560.49946146178	1384.80440588979	1775.99213379611	442.582812299247	532.068021791643	424.587951906056	466.908249247008	484.27560415855	460.122421489662	462.734405584747	416.09144032297	381.549287908563	266.2731517151	340.006821889024	291.817975510466	214	171.684716465352	214.988806190573	304.861021683944
hsa-miR-369-3p	159.724846718115	133.170818687833	178.753112554194	2054.51547909327	2097.22725814745	1961.85635888106	2359.66121845382	15.3606165050494	16.6010581006572	464.293022382876	15.6705188276127	56.4999334850103	60.1468198547075	40.4369478005768	47.5554698307137	98.7058556246727	90.3307821329399	140.380100570654	99.3996218549316	14.0447590641189	30.4770474854633	17.5590377501374	18.7262871985325	5	13.8735124416446	8.13471158558925	16.7813406431529
hsa-miR-146a-5p	8.12160237549739	14.3968452635495	5.67470198584743	43.0469909905256	68.0181813453228	64.6765832598151	56.9189386727194	194.56780906396	293.285359778277	218.015853988481	193.269732207223	14.1249833712526	6.94001767554317	6.06554217008652	10.8080613251622	4009.92538475233	3553.95170954285	4058.02475908871	3536.77724274524	4.6815863547063	4.81216539244157	1.5962761591034	4.68157179963314	0	1.73418905520558	4.64840662033671	8.39067032157645
hsa-miR-589-3p	766.137824088587	932.195730814829	871.066754827581	234.80176903923	324.975755316542	315.543330449401	345.225736732363	3200.12843855197	2932.85359778277	2180.15853988481	2893.82247683248	270.728847949007	347.000883777159	454.915662756489	330.726676549964	231.341849120327	197.598585915806	187.173467427538	201.110862822769	110.017279335598	133.13657585755	97.3728457053073	101.434055658718	97	60.6966169321952	65.077692684714	106.281824073302
hsa-miR-766-3p	1188.46114761445	1407.29162451196	1012.93430447377	116.096430247175	153.040908026976	141.112545294142	150.958924305908	209.928425569009	326.487475979592	230.12784587673	302.963364000512	428.457828927994	504.30795108947	349.779598474989	503.655657752559	154.227899413551	228.649792274004	366.548040378929	323.626675806754	325.370251652088	479.612484113343	375.124897389298	530.578137291756	352	267.065114501659	416.032392520136	335.626812863058
hsa-miR-450a-5p	27.0720079183246	14.3968452635495	14.1867549646186	1711.4440054415	1596.53786768883	1538.51872299863	2216.12650354001	158.726370552178	154.943208939467	553.114296230034	146.258175724385	16.4791472664613	39.326766828078	22.2403212903172	12.9696735901947	89.4521816598596	129.850499316101	103.985259681966	106.334479193648	28.0895181282378	56.141929578485	43.0994562957917	29.6499547310099	52	29.4812139384948	41.8356595830304	36.359571393498
hsa-miR-1285-3p	186.79685463644	309.532173166314	221.31337744805	585.699968325636	549.81363254136	582.089249338336	670.653581752476	332.813357609405	370.756964248011	419.882385459296	428.327514621414	275.437175739425	298.420760048356	256.774618533663	211.838001973179	209.74994320243	254.055324748893	187.173467427538	245.031625967971	526.678464904459	526.130082906945	347.988202684541	426.023033766616	244	286.14119410892	226.609822741415	358.001933720595
hsa-miR-200a-3p	78.5088229631414	111.575550792508	124.843443688644	3.91336281732051	5.6681817787769	3.91979292483728	4.94947292806255	1443.89795147465	1654.57212403217	1150.63922938365	1645.40447689933	54.1457695898015	50.8934629539833	52.5680321407498	38.909020770584	1838.39656100953	2503.85636724743	2950.58174347578	3206.21570959977	39.7934840150035	60.9540949709266	31.925523182068	24.9683829313767	10	12.139323386439	8.13471158558925	19.5782307503451
